method,path,status,solid_count,bbox_x,bbox_y,bbox_z
CadQuery,outputs\cadquery\cupboard.step,ok,13,900.000,484.000,2000.000
build123d,outputs\build123d\cupboard.step,ok,13,900.000,484.000,2000.000
