method,scope,score,source,step,stl,obj,preview,bbox_min,bbox_max,bbox_size,bbox_pass,volume_pass,watertight_any,overlap_pairs,notes
CadQuery,full benchmark,96,True,True,True,True,True,"[0.0, -34.0, 0.0]","[900.0, 450.0, 2000.0]","[900.0, 484.0, 2000.0]",True,True,True,[],CadQuery exports native STEP and STL through OpenCascade/OCP.
build123d,full benchmark,96,True,True,True,True,True,"[0.0, -34.0, 0.0]","[900.0, 450.0, 2000.0]","[900.0, 484.0, 2000.0]",True,True,True,[],build123d exports STEP and STL through OpenCascade/OCP.
JSCAD,full benchmark,92,True,False,True,True,True,"[0.0, -33.998, 0.0]","[899.997, 450.004, 2000.0]","[899.997, 484.002, 2000.0]",True,True,True,[],JSCAD is mesh/CSG oriented here; STEP output is not part of this local CLI run.
OpenSCAD,full benchmark,92,True,False,True,True,True,"[0.0, -34.0, 0.0]","[900.0, 450.0, 2000.0]","[900.0, 484.0, 2000.0]",True,True,True,[],OpenSCAD source was generated locally. | OBJ was converted from the OpenSCAD STL using trimesh. | OpenSCAD CLI was found; STL and PNG screenshot export completed.
ForgeCAD,full benchmark,88,True,False,True,True,True,"[0.0, -34.0, 0.0]","[900.0, 450.0, 2000.0]","[900.0, 484.0, 2000.0]",True,True,False,[],ForgeCAD CLI was installed as a local npm dev dependency. | STL and 3MF were exported with ForgeCAD CLI; PNG was rendered with ForgeCAD render 3d. | OBJ was converted from ForgeCAD STL using trimesh. | STEP export was attempted but ForgeCAD reported that export step requires a Pro license.
