method,scope,score,source,step,stl,obj,preview,bbox_min,bbox_max,bbox_size,bbox_pass,volume_pass,watertight_any,overlap_pairs,notes
CadQuery,full benchmark,100,True,True,True,True,True,"[0.0, -48.0, 0.0]","[1680.0, 650.0, 1800.0]","[1680.0, 698.0, 1800.0]",True,True,True,[],CadQuery exports native STEP and STL through OpenCascade/OCP.
build123d,full benchmark,100,True,True,True,True,True,"[0.0, -48.0, 0.0]","[1680.0, 650.0, 1800.0]","[1680.0, 698.0, 1800.0]",True,True,True,[],build123d exports STEP and STL through OpenCascade/OCP.
JSCAD,full benchmark,98,True,False,True,True,True,"[0.0, -48.005, 0.0]","[1680.002, 649.999, 1799.994]","[1680.002, 698.005, 1799.994]",True,True,True,[],JSCAD is mesh/CSG oriented here; STEP output is not part of this local CLI run.
OpenSCAD,full benchmark,98,True,False,True,True,True,"[0.0, -48.0, 0.0]","[1680.0, 650.0, 1800.0]","[1680.0, 698.0, 1800.0]",True,True,True,[],OpenSCAD source was generated locally. | OBJ was converted from the OpenSCAD STL using trimesh. | OpenSCAD CLI was found; STL and PNG screenshot export completed.
ForgeCAD,full benchmark,94,True,False,True,True,True,"[0.0, -48.0, 0.0]","[1680.0, 650.0, 1800.0]","[1680.0, 698.0, 1800.0]",True,True,False,[],ForgeCAD CLI was installed as a local npm dev dependency. | STL and 3MF were exported with ForgeCAD CLI; PNG was rendered with ForgeCAD render 3d. | OBJ was converted from ForgeCAD STL using trimesh. | STEP export was attempted but ForgeCAD reported that export step requires a Pro license.
