method,path,status,solid_count,bbox_x,bbox_y,bbox_z
CadQuery,outputs\cadquery\cupboard.step,ok,26,1680.000,698.000,1800.000
build123d,outputs\build123d\cupboard.step,ok,26,1680.000,698.000,1800.000
