method,path,status,solid_count,bbox_x,bbox_y,bbox_z
CadQuery,outputs\cadquery\cupboard.step,ok,150,1680.000,650.000,1800.000
build123d,outputs\build123d\cupboard.step,ok,150,1680.000,650.000,1800.000
