method,total_score,grade,concept_layout,concept_layout_max,visual_detail,visual_detail_max,cad_output,cad_output_max,evidence,evidence_max,top_penalties
CadQuery,84.0,B,25.0,25,19.0,35,25.0,25,15.0,15,"visual_detail:fine hardware, labels, curves, and fabric realism -5 | visual_detail:counter appliances and small morning objects -4 | visual_detail:three colored bins, lids, and front labels -2 | visual_detail:pegboard, outlet, slide cover, and towel zone -2"
build123d,84.0,B,25.0,25,19.0,35,25.0,25,15.0,15,"visual_detail:fine hardware, labels, curves, and fabric realism -5 | visual_detail:counter appliances and small morning objects -4 | visual_detail:three colored bins, lids, and front labels -2 | visual_detail:pegboard, outlet, slide cover, and towel zone -2"
JSCAD,76.0,C,25.0,25,19.0,35,17.0,25,15.0,15,"visual_detail:fine hardware, labels, curves, and fabric realism -5 | cad_output:STEP/native exchange output -5 | visual_detail:counter appliances and small morning objects -4 | cad_output:watertight mesh -3"
OpenSCAD,76.0,C,25.0,25,19.0,35,17.0,25,15.0,15,"visual_detail:fine hardware, labels, curves, and fabric realism -5 | cad_output:STEP/native exchange output -5 | visual_detail:counter appliances and small morning objects -4 | cad_output:watertight mesh -3"
ForgeCAD,76.0,C,25.0,25,19.0,35,17.0,25,15.0,15,"visual_detail:fine hardware, labels, curves, and fabric realism -5 | cad_output:STEP/native exchange output -5 | visual_detail:counter appliances and small morning objects -4 | cad_output:watertight mesh -3"
